Division,Make,MasterCollection,Collection,Classification,SubClassification,SubSection,Type,Gender,DesignNumber,Jewellery
GOLD,18 CT,ITALIAN,CUBAN,LIFE STYLE,L3,CUBAN,BROAD,LADIES,ITCUB0014,BANGLE
GOLD,18 CT,ITALIAN,CUBAN,LIFE STYLE,L3,CUBAN,BROAD,LADIES,ITCUB0015,BANGLE
GOLD,18 CT,ITALIAN,CUBAN,LIFE STYLE,L3,CUBAN,BROAD,LADIES,ITCUB0016,BANGLE
GOLD,18 CT,ITALIAN,CUBAN,LIFE STYLE,L3,CUBAN,BROAD,LADIES,ITCUB0017,BANGLE
GOLD,18 CT,ITALIAN,CUBAN,LIFE STYLE,L3,CUBAN,BROAD,LADIES,ITCUB0018,BANGLE
GOLD,18 CT,ITALIAN,CUBAN,LIFE STYLE,L3,CUBAN,BROAD,LADIES,ITCUB0019,BANGLE
GOLD,18 CT,ITALIAN,CUBAN,LIFE STYLE,L3,CUBAN,BROAD,LADIES,ITCUB0020,BANGLE
GOLD,18 CT,ITALIAN,CUBAN,LIFE STYLE,L3,CUBAN,BROAD,LADIES,ITCUB0021,BANGLE
GOLD,18 CT,ITALIAN,CUBAN,LIFE STYLE,L3,CUBAN,BROAD,LADIES,ITCUB0022,BANGLE
GOLD,18 CT,ITALIAN,CUBAN,LIFE STYLE,L3,CUBAN,BROAD,LADIES,ITCUB0023,BANGLE
GOLD,18 CT,ITALIAN,CUBAN,LIFE STYLE,L3,CUBAN,BROAD,LADIES,ITCUB0024,BANGLE
GOLD,18 CT,ITALIAN,CUBAN,LIFE STYLE,L3,CUBAN,BROAD,LADIES,ITCUB0025,BANGLE
GOLD,18 CT,ITALIAN,CUBAN,LIFE STYLE,L3,CUBAN,BROAD,LADIES,ITCUB0026,BANGLE
GOLD,18 CT,ITALIAN,CUBAN,LIFE STYLE,L3,CUBAN,BROAD,LADIES,ITCUB0027,BANGLE
GOLD,18 CT,ITALIAN,CUBAN,LIFE STYLE,L3,CUBAN,BROAD,LADIES,ITCUB0028,BANGLE
GOLD,18 CT,ITALIAN,CUBAN,LIFE STYLE,L3,CUBAN,BROAD,LADIES,ITCUB0029,BANGLE
GOLD,18 CT,ITALIAN,CUBAN,LIFE STYLE,L3,CUBAN,BROAD,LADIES,ITCUB0030,BANGLE
GOLD,18 CT,ITALIAN,CUBAN,LIFE STYLE,L3,CUBAN,BROAD,LADIES,ITCUB0031,BANGLE
GOLD,18 CT,ITALIAN,CUBAN,LIFE STYLE,L3,CUBAN,BROAD,LADIES,ITCUB0033,BANGLE
GOLD,18 CT,ITALIAN,CUBAN,LIFE STYLE,L3,CUBAN,BROAD,LADIES,ITCUB0034,BANGLE
GOLD,18 CT,ITALIAN,CUBAN,LIFE STYLE,L3,CUBAN,BROAD,LADIES,ITCUB0035,BANGLE
